location,type,area,constructionyear,sellingyear,price
Zografou,Storehouse,,1974,2018,500
Zografou,Storehouse,3,2016,2018,469
Zografou,Storehouse,4,1968,2018,500
Zografou,Storehouse,,1974,2018,500
Zografou,Storehouse,39,1970,2018,5500
Zografou,Storehouse,,1974,2018,500
Zografou,Storehouse,124,1973,2018,19530
Zografou,Storehouse,86,1966,2018,8000
Zografou,Storehouse,,1974,2018,1000
Zografou,Storehouse,30,1968,2017,2000
Zografou,Storehouse,25,1979,2017,1275
Zografou,Storehouse,7,2005,2017,0
Zografou,Storehouse,3,2006,2017,338
Zografou,Storehouse,,2004,2017,583
Zografou,Storehouse,9,2003,2017,500
Zografou,Shophouse,28,1953,2018,10000
Zografou,Shophouse,71,1979,2017,51894
Zografou,Shophouse,36,1974,2018,17139
Zografou,Shophouse,59,1957,2018,11000
Zografou,Shophouse,38,2005,2017,28500
Zografou,Shophouse,25,1979,2017,11725
Zografou,Shophouse,22,1969,2017,4500
Zografou,Shophouse,88,2011,2017,10
Zografou,House,62,2011,2018,70000
Zografou,House,44,1967,2017,25500
Zografou,House,55,2002,2018,45000
Zografou,House,71,1978,2018,60000
Zografou,House,56,1963,2018,60000
Zografou,House,56,1974,2018,37000
Zografou,House,45,1968,2018,20000
Zografou,House,47,1968,2018,27000
Zografou,House,44,1967,2018,24000
Zografou,House,77,2001,2018,67659
Zografou,House,87,1970,2018,47500
Zografou,House,30,1972,2018,18500
Zografou,House,75,1978,2017,63500
Zografou,House,49,1970,2017,2000
Zografou,House,56,1970,2018,24000
Zografou,House,50,1978,2018,3600
Zografou,House,84,1968,2018,70000
Zografou,House,47,1968,2017,28000
Zografou,House,112,2016,2018,136793
Zografou,House,89,1997,2018,50000
Zografou,House,24,1969,2018,5000
Zografou,House,50,1970,2017,20000
Zografou,House,50,1978,2018,7200
Zografou,House,111,1993,2018,50000
Zografou,House,78,1971,2017,11250
Zografou,House,89,1989,2018,30000
Zografou,House,23,1974,2018,17000
Zografou,House,81,1959,2017,12500
Zografou,House,49,1970,2017,27000
Zografou,House,46,1965,2018,18000
Zografou,House,93,1965,2018,15000
Zografou,House,71,1964,2018,41000
Zografou,House,78,1975,2018,67000
Zografou,House,70,1970,2018,46000
